album_id,album_name,release_date,tracks_count,uri,album_type,artists
50ZenUP4O2Q5eCy2NRNvuz,Stick Season,2022-10-14,14,spotify:album:50ZenUP4O2Q5eCy2NRNvuz,album,['2RQXRUsr4IW1f3mKyKsy4B']
66k6EGkPtYoN44anGIsEPW,Si No Estás,2022-09-23,1,spotify:album:66k6EGkPtYoN44anGIsEPW,single,['0jbo7KFNMiIkfBR6ih0yhm']
7nacKlk586eLRBSIsrk9DB,I've Tried Everything But Therapy (Part 1),2023-09-15,10,spotify:album:7nacKlk586eLRBSIsrk9DB,album,['33qOK5uJ8AR2xuQQAhHump']
1nrVofqDRs7cpWXJ49qTnP,SOS,2022-12-08,23,spotify:album:1nrVofqDRs7cpWXJ49qTnP,album,['7tYKF4w9nC0nq9CsPZTHyP']
3AafSrFIbJPH6BJHiJm1Cd,"What Was I Made For? [From The Motion Picture ""Barbie""]",2023-07-13,1,spotify:album:3AafSrFIbJPH6BJHiJm1Cd,single,['6qqNVTkY8uBg9cP3Jd7DAH']
5qmZefgh78fN3jsyPPlvuw,a Gift & a Curse,2023-06-16,15,spotify:album:5qmZefgh78fN3jsyPPlvuw,album,['2hlmm7s2ICUX0LVIhVFlZQ']
7qcSUc5Af63mhfTF60KTEA,Chemical,2023-04-14,1,spotify:album:7qcSUc5Af63mhfTF60KTEA,single,['246dkjvS1zLTtiykXe5h60']
64LU4c1nfjz1t4VnGhagcg,1989 (Taylor's Version),2023-10-26,21,spotify:album:64LU4c1nfjz1t4VnGhagcg,album,['06HL4z0CvFAxyc27GXpf02']
2yHTMVFGHODKJOjVL1hLgk,The Hunger Games: The Ballad of Songbirds & Snakes (Music From & Inspired By),2023-11-17,17,spotify:album:2yHTMVFGHODKJOjVL1hLgk,album,['1McMsnEElThX1knmY4oliG']
5UcGyEltve5psjxSRsHx8E,Something To Give Each Other,2023-10-13,10,spotify:album:5UcGyEltve5psjxSRsHx8E,album,['3WGpXCj9YhhfX11TToZcXP']
1j5AROUr8rq5xb2CXDIH1c,Lil Boo Thang,2023-08-18,1,spotify:album:1j5AROUr8rq5xb2CXDIH1c,single,['4zoRNhOhsGX3w8yBAnFSQ8']
4czdORdCWP9umpbhFXK2fW,For All The Dogs,2023-10-06,23,spotify:album:4czdORdCWP9umpbhFXK2fW,album,"['3TVXtAsR1Inumwj472S9r4', '6l3HvQ5sa6mXTsMTB19rO5']"
18NOKLkZETa4sWwLMIm0UZ,UTOPIA,2023-07-28,19,spotify:album:18NOKLkZETa4sWwLMIm0UZ,album,['0Y5tJX1MQlPlqiwlOH1tJY']
6NcI39WPu4kY6Tul11nhSv,Daylight,2023-04-14,1,spotify:album:6NcI39WPu4kY6Tul11nhSv,single,['33NVpKoXjItPwUJTMZIOiY']
7tzVd1fwkxsorytCBjEJkU,The Idol Episode 4 (Music from the HBO Original Series),2023-06-23,3,spotify:album:7tzVd1fwkxsorytCBjEJkU,single,"['1Xyo4u8uXC1ZmMpatF05PJ', '250b0Wlc5Vk0CoUsaCY84M', '1pBLC0qVRTB5zVMuteQ9jJ']"
5V729UqvhwNOcMejx0m55I,NewJeans 'Super Shy',2023-07-07,2,spotify:album:5V729UqvhwNOcMejx0m55I,single,['6HvZYsbFfjnjFrWF950C9d']
71MqBkcflJ1Rz1SHo8XSi5,What It Is (Versions),2023-03-17,6,spotify:album:71MqBkcflJ1Rz1SHo8XSi5,single,['4E2rKHVDssGJm2SCDOMMJB']
1y8Yw0NDcP2qxbZufIXt7u,Moonlight,2023-02-24,1,spotify:album:1y8Yw0NDcP2qxbZufIXt7u,single,['1U1el3k54VvEUzo3ybLPlM']
5MU0RmBSpoSxOPYBfcobDc,Prada,2023-08-11,1,spotify:album:5MU0RmBSpoSxOPYBfcobDc,single,"['5wCmhq5J2hPwL2r0eKurxn', '5KKpBU5eC2tJDzf0wmlRp2', '5VadK1havLhK1OpKYsXv9y']"
5If2zLk3mlHXuhIS7rQF90,The Beginning,2023-09-22,11,spotify:album:5If2zLk3mlHXuhIS7rQF90,album,['4GJ6xDCF5jaUqD6avOuQT6']
3puAvurwvtvi1rodndIPW8,LA VIDA ES UNA,2023-03-23,23,spotify:album:3puAvurwvtvi1rodndIPW8,album,['7iK8PXO48WeuP03g8YR51W']
5CM66hwjlbZ06LhONWXOAs,Barbie World (with Aqua) [From Barbie The Album],2023-06-23,1,spotify:album:5CM66hwjlbZ06LhONWXOAs,single,"['0hCNtLu0JehylgoiP8L4Gh', '3LZZPxNDGDFVSIPqf4JuEf', '6kBjAFKyd0he7LiA5GQ3Gz']"
2LVDNOUUy2g8517ZEtQIcK,(It Goes Like) Nanana [Edit],2023-06-15,1,spotify:album:2LVDNOUUy2g8517ZEtQIcK,single,['2mLA48B366zkELXYx7hcDN']
5DvJgsMLbaR1HmAI6VhfcQ,Endless Summer Vacation,2023-08-18,14,spotify:album:5DvJgsMLbaR1HmAI6VhfcQ,album,['5YGY8feqx7naU7z4HrwZM6']
7gCggwpSuqUmVzWniLdpKR,TOO MUCH,2023-10-19,1,spotify:album:7gCggwpSuqUmVzWniLdpKR,single,"['2tIP7SsRs7vjIcLrU85W8J', '6HaGTQPmzraVmaVxvz6EUc', '5H4yInM5zmHqpKIoMNAx4r']"
6EejduBuRYb7rzJaD2YCqO,Single Soon,2023-08-25,1,spotify:album:6EejduBuRYb7rzJaD2YCqO,single,['0C8ZW7ezQVs4URX5aX7Kqx']
6jVg0POvGYH1Pt6lISl3ok,Say Yes To Heaven,2023-05-19,2,spotify:album:6jVg0POvGYH1Pt6lISl3ok,single,['00FQb4jTyendYWaN8pK0wa']
5l0QlaI3wdZpE7ggoO5Rwg,Sprinter,2023-06-01,1,spotify:album:5l0QlaI3wdZpE7ggoO5Rwg,single,"['6Ip8FS7vWT1uKkJSweANQK', '5H4yInM5zmHqpKIoMNAx4r']"
4czdORdCWP9umpbhFXK2fW,For All The Dogs,2023-10-06,23,spotify:album:4czdORdCWP9umpbhFXK2fW,album,"['3TVXtAsR1Inumwj472S9r4', '3qiHUAX7zY4Qnjx8TNUzVx']"
6VCO0fDBGbRW8mCEvV95af,Lovin On Me,2023-11-10,1,spotify:album:6VCO0fDBGbRW8mCEvV95af,single,['2LIk90788K0zvyj2JJVwkJ']
4rJDCELWL0fjdmN9Gn4f4g,The Forever Story (Extended Version),2022-10-31,16,spotify:album:4rJDCELWL0fjdmN9Gn4f4g,album,"['6U3ybJ9UHNKEdsH7ktGBZ7', '1URnnhqYAYcrqrcwql10ft', '3IJ21966TwNZI24MwZHMu4']"
2XCjDuNrAObHZrKPhsWvzP,Tee's Coney Island,2023-11-03,16,spotify:album:2XCjDuNrAObHZrKPhsWvzP,album,"['6AUl0ykLLpvTktob97x9hO', '1URnnhqYAYcrqrcwql10ft']"
2Ro9gydgq5JWy7b22zPty9,500lbs,2023-07-21,1,spotify:album:2Ro9gydgq5JWy7b22zPty9,single,['4Ga1P7PMIsmqEZqhYZQgDo']
2EZ8JL3dtb54VXi3k6E7k6,THE BIGGEST,2023-12-01,7,spotify:album:2EZ8JL3dtb54VXi3k6E7k6,album,"['6qxpnaukVayrQn6ViNvu9I', '4DdkRBBYG6Yk9Ka8tdJ9BW']"
4czdORdCWP9umpbhFXK2fW,For All The Dogs,2023-10-06,23,spotify:album:4czdORdCWP9umpbhFXK2fW,album,"['3TVXtAsR1Inumwj472S9r4', '6l3HvQ5sa6mXTsMTB19rO5']"
7pp3ZbXrqBiaaeRLIAyis5,Lottery Pick,2023-06-16,15,spotify:album:7pp3ZbXrqBiaaeRLIAyis5,album,['4VCriUU9CsPnUvoAsxVk1p']
1D1hLipjrdB6pnxurMtC3E,SET IT OFF,2023-10-13,21,spotify:album:1D1hLipjrdB6pnxurMtC3E,album,"['4DdkRBBYG6Yk9Ka8tdJ9BW', '0Y5tJX1MQlPlqiwlOH1tJY']"
31UX5n39Siyj0nXs1s5DSZ,First Day Out (Freestyle),2023-09-05,1,spotify:album:31UX5n39Siyj0nXs1s5DSZ,single,['4W7fxKwDR9luCrOryB3GVK']
1D3Uf2OkWYQytEbK3NpdMn,Mmhmm,2023-10-06,1,spotify:album:1D3Uf2OkWYQytEbK3NpdMn,single,['6qxpnaukVayrQn6ViNvu9I']
4Q7cRXio6mF2ImVUCcezPO,For All The Dogs Scary Hours Edition,2023-11-17,29,spotify:album:4Q7cRXio6mF2ImVUCcezPO,album,['3TVXtAsR1Inumwj472S9r4']
7eJUwUbX2BGnNkLBoOvIlr,Hood Hottest Princess (Deluxe),2023-12-01,22,spotify:album:7eJUwUbX2BGnNkLBoOvIlr,album,['3DbwFQlvLxRSi2uX8mf81A']
0b9jz0diSiituyThsBewRd,Run,2023-12-01,1,spotify:album:0b9jz0diSiituyThsBewRd,single,['7wlFDEWiM5OoIAt8RSli8b']
54dZypaXHAIDzBe9ujAZ63,Paint The Town Red,2023-08-04,1,spotify:album:54dZypaXHAIDzBe9ujAZ63,single,['5cj0lLjcoR7YOSnhnX0Po5']
18NOKLkZETa4sWwLMIm0UZ,UTOPIA,2023-07-28,19,spotify:album:18NOKLkZETa4sWwLMIm0UZ,album,['0Y5tJX1MQlPlqiwlOH1tJY']
5bHwBaNZKESVBhqCvs4Ify,HVN ON EARTH,2023-08-18,1,spotify:album:5bHwBaNZKESVBhqCvs4Ify,single,"['4Ga1P7PMIsmqEZqhYZQgDo', '46SHBwWsqBkxI7EeeBEQG7']"
5Nzk5vGBrgjl9Ll8vk8m2q,Long Story Short,2023-11-10,1,spotify:album:5Nzk5vGBrgjl9Ll8vk8m2q,single,"['17lzZA2AlOHwCwFALHttmp', '55Aa2cqylxrFIXC767Z865']"
4ocf6wJAV6NJCBn8nTkeaj,Glizock & Wizop (feat. Key Glock),2023-10-13,1,spotify:album:4ocf6wJAV6NJCBn8nTkeaj,single,"['13y7CgLHjMVRMDqxdx0Xdo', '0RESbWvOMyua0yuyVrztJ5']"
1lzWtPTZrL3ZE1oagDJgvL,Bent,2023-08-04,1,spotify:album:1lzWtPTZrL3ZE1oagDJgvL,single,"['0yknvLWQZxwsMjhUhwWZQ8', '0hF6lbAjRsq4svrQUr5sgU', '3BcgTyEdL81zMljmXcilZM', '43s6uFZrdusv7ggmDSpO41']"
18NOKLkZETa4sWwLMIm0UZ,UTOPIA,2023-07-28,19,spotify:album:18NOKLkZETa4sWwLMIm0UZ,album,"['0Y5tJX1MQlPlqiwlOH1tJY', '699OTQXzgjhIYAHMy9RyPD']"
4GwIahaGnJ2cA4QfAJ74nF,WHAT'S THE MOVE? (feat. Future and BabyDrill),2023-11-08,1,spotify:album:4GwIahaGnJ2cA4QfAJ74nF,single,"['2tIP7SsRs7vjIcLrU85W8J', '1RyvyyTE3xzB2ZywiAwp0i', '4Q7FV4mw6Q3va79JwftGRv']"
0xojHpNNGFiPqc3TXmh6Gv,Nostalgia,2023-09-15,18,spotify:album:0xojHpNNGFiPqc3TXmh6Gv,album,['45TgXXqMDdF8BkjA83OM7z']
2tnjYrSajrt2nlv2Acf1DP,Presha,2023-10-20,1,spotify:album:2tnjYrSajrt2nlv2Acf1DP,single,"['17lzZA2AlOHwCwFALHttmp', '55Aa2cqylxrFIXC767Z865']"
5csXVq16N67kRKWhgUmWpk,Bachelor,2023-11-03,1,spotify:album:5csXVq16N67kRKWhgUmWpk,single,"['002HSjuWsGMinkXTa7JcRp', '2hlmm7s2ICUX0LVIhVFlZQ']"
08VJzxuxr4leLd9YhJNlQl,Cobra,2023-11-03,1,spotify:album:08VJzxuxr4leLd9YhJNlQl,single,['181bsRPaVXVlUKXrxwZfHK']
5qmZefgh78fN3jsyPPlvuw,a Gift & a Curse,2023-06-16,15,spotify:album:5qmZefgh78fN3jsyPPlvuw,album,['2hlmm7s2ICUX0LVIhVFlZQ']
5N1Y4h6H1fiS7tIL0fPivM,Big Dog,2023-11-03,1,spotify:album:5N1Y4h6H1fiS7tIL0fPivM,single,"['5Matrg5du62bXwer29cU5T', '55Aa2cqylxrFIXC767Z865']"
1ugjPDt5OYUeYmwYkgqEfQ,Cottonwood 2 (Deluxe 2.0),2023-10-27,40,spotify:album:1ugjPDt5OYUeYmwYkgqEfQ,album,"['0ErzCpIMyLcjPiwT4elrtZ', '6qxpnaukVayrQn6ViNvu9I']"
1D1hLipjrdB6pnxurMtC3E,SET IT OFF,2023-10-13,21,spotify:album:1D1hLipjrdB6pnxurMtC3E,album,"['4DdkRBBYG6Yk9Ka8tdJ9BW', '1RyvyyTE3xzB2ZywiAwp0i']"
1LaC62xZdpsUF19kVBbPCy,Turn Yo Clic Up (feat. Future),2023-07-14,1,spotify:album:1LaC62xZdpsUF19kVBbPCy,single,"['0VRj0yCOv2FXJNP47XQnx5', '1RyvyyTE3xzB2ZywiAwp0i']"
0xojHpNNGFiPqc3TXmh6Gv,Nostalgia,2023-09-15,18,spotify:album:0xojHpNNGFiPqc3TXmh6Gv,album,"['45TgXXqMDdF8BkjA83OM7z', '1URnnhqYAYcrqrcwql10ft']"
5QDOKezJwT63L54s17jMgw,B4 BOA,2023-09-08,3,spotify:album:5QDOKezJwT63L54s17jMgw,single,['31W5EY0aAly4Qieq6OFu6I']
1QKQ5VaVGwH8zsqTqGU8Zs,Baller,2023-11-03,1,spotify:album:1QKQ5VaVGwH8zsqTqGU8Zs,single,['7rkW85dBwwrJtlHRDkJDAC']
65SsQtOf5Cd25fanX62XRR,When I Was Dead,2023-11-10,19,spotify:album:65SsQtOf5Cd25fanX62XRR,album,['46SHBwWsqBkxI7EeeBEQG7']
30n2gaTkEAk04fqVGusVNh,Cold (feat. B.G. & Mike WiLL Made-It),2023-11-20,1,spotify:album:30n2gaTkEAk04fqVGusVNh,single,"['13y7CgLHjMVRMDqxdx0Xdo', '36HvjE9pV91jEjO1qBRidS', '0NWbwDZY1VkRqFafuQm6wk']"
18NOKLkZETa4sWwLMIm0UZ,UTOPIA,2023-07-28,19,spotify:album:18NOKLkZETa4sWwLMIm0UZ,album,"['0Y5tJX1MQlPlqiwlOH1tJY', '3TVXtAsR1Inumwj472S9r4']"
69bYMgvQpIYHsNNDxDTQqa,Been One,2023-06-30,19,spotify:album:69bYMgvQpIYHsNNDxDTQqa,album,"['0gg11prPP6OqtUvBcKnPpq', '4PNHuWkk4ee6R8WEhFVPf5']"
3v9a1PtWXE5NopNCeaw1sj,Peaches & Eggplants (feat. Latto & Sexyy Red),2023-09-08,1,spotify:album:3v9a1PtWXE5NopNCeaw1sj,single,"['5yPzzu25VzEk8qrGTLIrE1', '3MdXrJWsbVzdn6fe5JYkSQ', '3DbwFQlvLxRSi2uX8mf81A']"
2LdlfTE6xqf2Ez8LPAFZSy,Welcome 2 Collegrove,2023-11-17,21,spotify:album:2LdlfTE6xqf2Ez8LPAFZSy,album,"['17lzZA2AlOHwCwFALHttmp', '55Aa2cqylxrFIXC767Z865', '1URnnhqYAYcrqrcwql10ft']"
3ZuNOvosbywUYTfgZc09tU,Nightmares In the Trenches,2023-11-17,11,spotify:album:3ZuNOvosbywUYTfgZc09tU,album,"['3hcs9uc56yIGFCSy9leWe7', '2Hm8pRagdhRNFBbCiGaJEI', '3IaKn0ExWTMPqa0mscUYw3']"
2bgo85yjFegHRyRROMaiWm,ISSA PARTY (feat. BabyDrill),2023-09-29,1,spotify:album:2bgo85yjFegHRyRROMaiWm,single,"['3MdXrJWsbVzdn6fe5JYkSQ', '4Q7FV4mw6Q3va79JwftGRv']"
1FSxhiCNZgovaqCQnlnHbX,SpinDatBac,2023-11-17,1,spotify:album:1FSxhiCNZgovaqCQnlnHbX,single,['45gHcnDnMC15sgx3VL7ROG']
73djAmtght7e1sfNLior3P,24 hours to live,2023-10-27,1,spotify:album:73djAmtght7e1sfNLior3P,single,['6C1ohJrd5VydigQtaGy5Wa']
3XYWRia8E82cJI6WrDLTTQ,Bongos (feat. Megan Thee Stallion),2023-09-08,1,spotify:album:3XYWRia8E82cJI6WrDLTTQ,single,"['4kYSro6naA4h99UJvo89HB', '181bsRPaVXVlUKXrxwZfHK']"
0p82QxkLngaHhRkbET3IZ0,Brand New,2023-09-27,1,spotify:album:0p82QxkLngaHhRkbET3IZ0,single,"['5LHRHt1k9lMyONurDHEdrp', '0A0FS04o6zMoto8OKPsDwY', '55Aa2cqylxrFIXC767Z865']"
0HS8aknH0JQdMIiBVhyOCW,A Great Chaos,2023-10-13,18,spotify:album:0HS8aknH0JQdMIiBVhyOCW,album,['3gBZUcNeVumkeeJ19CY2sX']
1jhGoiKDR41Qa2mzlveJFX,Too Good To Be True,2023-11-10,17,spotify:album:1jhGoiKDR41Qa2mzlveJFX,album,"['1sBkRIssrMs1AbVkOJbc7a', '20sxb77xiYeusSH8cVdatc', '1RyvyyTE3xzB2ZywiAwp0i']"
5wBErX7aRc72byoh2KIHl6,Saint Michael V2,2023-11-24,17,spotify:album:5wBErX7aRc72byoh2KIHl6,album,"['6Xgp2XMz1fhVYe7i6yNAax', '1t22AdiJ8P9eXOnoJ8xPJT']"
1Oi3PgQhL4WOKe1aoPCpqe,Aria,2023-09-22,1,spotify:album:1Oi3PgQhL4WOKe1aoPCpqe,single,"['1NaQOKgddaJipUtmptb7GI', '4zPg2ECAB9rHtMAx8faWfc']"
5EcypjAXyzxlrF5AKCNg9K,Body Moving,2023-11-17,1,spotify:album:5EcypjAXyzxlrF5AKCNg9K,single,"['4XC335ouK6pXyq4QiIb8bP', '7CajNmpbOovFoOoasH2HaY']"
1CS8eBSCVXMwYJytG5aYfX,Lover/Friend,2023-11-30,4,spotify:album:1CS8eBSCVXMwYJytG5aYfX,album,"['6qgnBH6iDM91ipVXv28OMu', '3MM3uKNdJbvefUael12dl3']"
3XTTqxcEOZgaTobJlRefvF,Saving Up,2023-10-06,1,spotify:album:3XTTqxcEOZgaTobJlRefvF,single,['205i7E8fNVfojowcQSfK9m']
6Br9xGHQxq9VrTjsiYJ7NJ,Rule The World (Everybody),2023-10-27,1,spotify:album:6Br9xGHQxq9VrTjsiYJ7NJ,single,"['2o5jDhtHVPhrJdv3cEQ99Z', '4bthk9UfsYUYdcFyqxmSUU', '7ui1kBUIbujvJnIXxDjoWz', '3KjZMSSy0BaCVdvL0VABRO']"
2GyIYK9C2K870xKjo5HI9D,Water,2023-11-15,1,spotify:album:2GyIYK9C2K870xKjo5HI9D,single,"['3SozjO3Lat463tQICI9LcE', '64KEffDW9EtZ1y2vBYgq8T']"
3vT1YpvKNkGVN3XE1f3kQY,When We Were Young (The Logical Song),2023-11-10,2,spotify:album:3vT1YpvKNkGVN3XE1f3kQY,single,"['1Cs0zKBU1kc0i8ypK3B9ai', '3Xt3RrJMFv5SZkCfUE8C1J']"
4LvkMrD1HDDOzWHRS7GKE1,Dress Code,2023-10-06,1,spotify:album:4LvkMrD1HDDOzWHRS7GKE1,single,['0w1sbtZVQoK6GzV4A4OkCv']
5asqLE8StjaHpMWSyjzo2D,SURRENDER,2023-10-27,5,spotify:album:5asqLE8StjaHpMWSyjzo2D,single,"['6mDl7lQiLxT0iQ8LYhAlWy', '5Y2FS5YbGf7yRDumzD5nY3']"
0GuEvq4vzB9QqUaU8lVL0F,ten,2023-10-13,1,spotify:album:0GuEvq4vzB9QqUaU8lVL0F,single,"['4oLeXFyACqeem2VImYeBFe', '6Ja6zFB5d7XRihhfMo6KzY']"
7vQRJ5q9b0c4gKrsh9yIhE,Mid Air,2023-09-08,11,spotify:album:7vQRJ5q9b0c4gKrsh9yIhE,album,['3X2DdnmoANw8Rg8luHyZQb']
3E3JRB0gGzHuc56GB3hUPJ,Stay High,2023-11-24,2,spotify:album:3E3JRB0gGzHuc56GB3hUPJ,single,"['5fMUXHkw8R8eOP2RNVYEZX', '5PlfkPxwCpRRWQJBxCa0By', '4dHGNdVhBxCJUyMk9dR727']"
2EQauiLBwWg9SCzJ07bEHj,Veneno,2023-11-10,1,spotify:album:2EQauiLBwWg9SCzJ07bEHj,single,"['586uxXMyD5ObPuzjtrzO1Q', '07FaEsHIaVZAFFHvNElpbQ', '5XWPfS0p9Ow7IfTrlQhxhw']"
3eKGADmjALWfFIXHDak5DB,Losing Control,2023-09-15,1,spotify:album:3eKGADmjALWfFIXHDak5DB,single,"['4qLwtWhlhyAoQ4S9mSrDW9', '3PYRXP25JcbqhvNaJYcnWy']"
5HRtN5JcxONyY8WlvayG2g,I Believe In Love Again (Jex Opolis Remix),2023-12-01,2,spotify:album:5HRtN5JcxONyY8WlvayG2g,single,"['2mLA48B366zkELXYx7hcDN', '5gznATMVO85ZcLTkE9ULU7', '6LKEDpmHSbVFGyL2OW0ZbQ']"
4dIIRxQJD8krCBjlEBDX35,Can't Play Myself (A Tribute To Amy),2023-10-13,1,spotify:album:4dIIRxQJD8krCBjlEBDX35,single,"['2p1fiYHYiXz9qi0JJyxBzN', '6Q192DXotxtaysaqNPy5yR']"
0fUKZB6bCIkamKICaWy2t2,Mercy (feat. Jacob Lusk),2023-06-23,1,spotify:album:0fUKZB6bCIkamKICaWy2t2,single,"['4TvhRzxIL1le2PWCeUqxQw', '6dm2qCTCfqv1fqrow7UOcj', '5tHs3fthucNRGAFpdE9rmz']"
6D1c9gOUIaHAdY9ixKx47n,BELLYDANCING,2023-11-02,1,spotify:album:6D1c9gOUIaHAdY9ixKx47n,single,['0Z4Ir8usNVcAdCSQl0fQki']
5H1GCTOowyeZzBVBddvdFD,This Mixtape is Fire TOO,2023-12-01,14,spotify:album:5H1GCTOowyeZzBVBddvdFD,album,"['5R3Hr2cnCCjt220Jmt2xLf', '6U1dV7aL68N7Gb0Naq34V5']"
6YFH6hee6fTJjlRddtl8gN,Jungle,2023-09-22,1,spotify:album:6YFH6hee6fTJjlRddtl8gN,single,"['0NGAZxHanS9e0iNHpR8f2W', '69GGBxA162lTqCwzJG5jLp', '311uEW9rt5g2NmzjGEKS2E']"
1Pei7Y5MNZQvfkDWds5EWa,More Baby,2023-09-15,3,spotify:album:1Pei7Y5MNZQvfkDWds5EWa,single,"['5Igpc9iLZ3YGtKeYfSrrOE', '5ITI6SEoUZMIXXkzCfr4oE']"
5t81OipNDNgEJ8MR5RVwFU,Higher Power,2023-11-10,1,spotify:album:5t81OipNDNgEJ8MR5RVwFU,single,"['4iBwchw0U0GZv5RfVYSMxN', '1NaQOKgddaJipUtmptb7GI', '4pOglqMAavrWFo20ORRx5w']"
1nqF9ybDGwuGl1rVERp5Q4,The Cruelest Summer,2023-10-19,3,spotify:album:1nqF9ybDGwuGl1rVERp5Q4,single,"['06HL4z0CvFAxyc27GXpf02', '3oKnyRhYWzNsTiss5n4Z1J']"
3rGYf6tkyIJ4BE2O2k7o0d,Atmosphere,2023-08-11,1,spotify:album:3rGYf6tkyIJ4BE2O2k7o0d,single,"['1VJ0briNOlXRtJUAzoUJdt', '3CGuwWgoCYSO5Z72H5G2Ec']"
79Cyc8GRWnLyjdJSMyJ0dB,Vois sur ton chemin (Techno Mix),2023-08-04,1,spotify:album:79Cyc8GRWnLyjdJSMyJ0dB,single,['1r43wW70tnGUauQYvY5w48']
20ssXnN1FKqAfIE6zSM8gQ,God Is In The Soundwaves,2023-10-27,1,spotify:album:20ssXnN1FKqAfIE6zSM8gQ,single,"['0SfsnGyD8FpIN4U4WCkBZ5', '6FzKLPWkSD5Ivq2mU98uqf', '7gvpJzKMMMQsdLqWF4SKs7']"
